family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-8,short,OOS,0.005,1.0,246,67.1,-0.0736,-18.1,0.74,37.3,0.0,0.0,0.0,29.0,0.0,5.0
P1-8,short,IS,0.005,1.3,247,70.0,0.0401,9.9,1.23,60.3,0.0,0.0,0.0,10.0,0.0,23.0
P1-8,short,OOS,0.005,1.3,246,68.3,-0.0803,-19.76,0.73,41.9,0.0,0.0,0.0,24.0,0.0,9.0
P1-8,short,IS,0.005,1.5,247,70.0,0.0391,9.66,1.23,61.3,0.0,0.0,0.0,8.0,0.0,25.0
P1-8,short,OOS,0.005,1.5,246,68.7,-0.0916,-22.55,0.7,44.4,0.0,0.0,0.0,23.0,0.0,10.0
P1-8,short,IS,0.005,2.0,247,70.0,0.0335,8.28,1.19,62.1,0.0,0.0,0.0,7.0,0.0,26.0
P1-8,short,OOS,0.005,2.0,246,69.9,-0.0896,-22.04,0.71,47.6,0.0,0.0,0.0,18.0,0.0,13.0
P1-8,short,IS,0.007,0.6,247,67.6,0.0313,7.73,1.18,50.8,0.0,0.0,0.0,22.0,0.0,13.0
P1-8,short,OOS,0.007,0.6,246,63.0,-0.0527,-12.95,0.79,29.6,0.0,0.0,0.0,35.0,0.0,3.0
P1-8,short,IS,0.007,0.8,247,68.4,0.0244,6.04,1.14,55.6,0.0,0.0,0.0,17.0,0.0,18.0
P1-8,short,OOS,0.007,0.8,246,65.9,-0.0594,-14.6,0.78,33.8,0.0,0.0,0.0,31.0,0.0,4.0
P1-8,short,IS,0.007,1.0,247,69.2,0.0342,8.45,1.2,58.3,0.0,0.0,0.0,13.0,0.0,21.0
P1-8,short,OOS,0.007,1.0,246,67.1,-0.0736,-18.1,0.74,37.3,0.0,0.0,0.0,29.0,0.0,5.0
P1-8,short,IS,0.007,1.3,247,70.0,0.0401,9.9,1.23,60.3,0.0,0.0,0.0,10.0,0.0,23.0
P1-8,short,OOS,0.007,1.3,246,68.3,-0.0803,-19.76,0.73,41.9,0.0,0.0,0.0,24.0,0.0,9.0
P1-8,short,IS,0.007,1.5,247,70.0,0.0391,9.66,1.23,61.3,0.0,0.0,0.0,8.0,0.0,25.0
P1-8,short,OOS,0.007,1.5,246,68.7,-0.0916,-22.55,0.7,44.4,0.0,0.0,0.0,23.0,0.0,10.0
P1-8,short,IS,0.007,2.0,247,70.0,0.0335,8.28,1.19,62.1,0.0,0.0,0.0,7.0,0.0,26.0
P1-8,short,OOS,0.007,2.0,246,69.9,-0.0896,-22.04,0.71,47.6,0.0,0.0,0.0,18.0,0.0,13.0
P1-8,short,IS,0.01,0.6,247,67.6,0.0313,7.73,1.18,50.8,0.0,0.0,0.0,22.0,0.0,13.0
P1-8,short,OOS,0.01,0.6,246,63.0,-0.0527,-12.95,0.79,29.6,0.0,0.0,0.0,35.0,0.0,3.0
P1-8,short,IS,0.01,0.8,247,68.4,0.0244,6.04,1.14,55.6,0.0,0.0,0.0,17.0,0.0,18.0
P1-8,short,OOS,0.01,0.8,246,65.9,-0.0594,-14.6,0.78,33.8,0.0,0.0,0.0,31.0,0.0,4.0
P1-8,short,IS,0.01,1.0,247,69.2,0.0342,8.45,1.2,58.3,0.0,0.0,0.0,13.0,0.0,21.0
P1-8,short,OOS,0.01,1.0,246,67.1,-0.0736,-18.1,0.74,37.3,0.0,0.0,0.0,29.0,0.0,5.0
P1-8,short,IS,0.01,1.3,247,70.0,0.0401,9.9,1.23,60.3,0.0,0.0,0.0,10.0,0.0,23.0
P1-8,short,OOS,0.01,1.3,246,68.3,-0.0803,-19.76,0.73,41.9,0.0,0.0,0.0,24.0,0.0,9.0
P1-8,short,IS,0.01,1.5,247,70.0,0.0391,9.66,1.23,61.3,0.0,0.0,0.0,8.0,0.0,25.0
P1-8,short,OOS,0.01,1.5,246,68.7,-0.0916,-22.55,0.7,44.4,0.0,0.0,0.0,23.0,0.0,10.0
P1-8,short,IS,0.01,2.0,247,70.0,0.0335,8.28,1.19,62.1,0.0,0.0,0.0,7.0,0.0,26.0
P1-8,short,OOS,0.01,2.0,246,69.9,-0.0896,-22.04,0.71,47.6,0.0,0.0,0.0,18.0,0.0,13.0
P1-8,short,IS,0.015,0.6,247,67.6,0.0313,7.73,1.18,50.8,0.0,0.0,0.0,22.0,0.0,13.0
P1-8,short,OOS,0.015,0.6,246,63.0,-0.0527,-12.95,0.79,29.6,0.0,0.0,0.0,35.0,0.0,3.0
P1-8,short,IS,0.015,0.8,247,68.4,0.0244,6.04,1.14,55.6,0.0,0.0,0.0,17.0,0.0,18.0
P1-8,short,OOS,0.015,0.8,246,65.9,-0.0594,-14.6,0.78,33.8,0.0,0.0,0.0,31.0,0.0,4.0
P1-8,short,IS,0.015,1.0,247,69.2,0.0342,8.45,1.2,58.3,0.0,0.0,0.0,13.0,0.0,21.0
P1-8,short,OOS,0.015,1.0,246,67.1,-0.0736,-18.1,0.74,37.3,0.0,0.0,0.0,29.0,0.0,5.0
P1-8,short,IS,0.015,1.3,247,70.0,0.0401,9.9,1.23,60.3,0.0,0.0,0.0,10.0,0.0,23.0
P1-8,short,OOS,0.015,1.3,246,68.3,-0.0803,-19.76,0.73,41.9,0.0,0.0,0.0,24.0,0.0,9.0
P1-8,short,IS,0.015,1.5,247,70.0,0.0391,9.66,1.23,61.3,0.0,0.0,0.0,8.0,0.0,25.0
P1-8,short,OOS,0.015,1.5,246,68.7,-0.0916,-22.55,0.7,44.4,0.0,0.0,0.0,23.0,0.0,10.0
P1-8,short,IS,0.015,2.0,247,70.0,0.0335,8.28,1.19,62.1,0.0,0.0,0.0,7.0,0.0,26.0
P1-8,short,OOS,0.015,2.0,246,69.9,-0.0896,-22.04,0.71,47.6,0.0,0.0,0.0,18.0,0.0,13.0
P1-8,short,IS,OFF,0.6,247,67.6,0.0313,7.73,1.18,50.8,0.0,0.0,0.0,22.0,0.0,13.0
P1-8,short,OOS,OFF,0.6,246,63.0,-0.0527,-12.95,0.79,29.6,0.0,0.0,0.0,35.0,0.0,3.0
P1-8,short,IS,OFF,0.8,247,68.4,0.0244,6.04,1.14,55.6,0.0,0.0,0.0,17.0,0.0,18.0
P1-8,short,OOS,OFF,0.8,246,65.9,-0.0594,-14.6,0.78,33.8,0.0,0.0,0.0,31.0,0.0,4.0
P1-8,short,IS,OFF,1.0,247,69.2,0.0342,8.45,1.2,58.3,0.0,0.0,0.0,13.0,0.0,21.0
P1-8,short,OOS,OFF,1.0,246,67.1,-0.0736,-18.1,0.74,37.3,0.0,0.0,0.0,29.0,0.0,5.0
P1-8,short,IS,OFF,1.3,247,70.0,0.0401,9.9,1.23,60.3,0.0,0.0,0.0,10.0,0.0,23.0
P1-8,short,OOS,OFF,1.3,246,68.3,-0.0803,-19.76,0.73,41.9,0.0,0.0,0.0,24.0,0.0,9.0
P1-8,short,IS,OFF,1.5,247,70.0,0.0391,9.66,1.23,61.3,0.0,0.0,0.0,8.0,0.0,25.0
P1-8,short,OOS,OFF,1.5,246,68.7,-0.0916,-22.55,0.7,44.4,0.0,0.0,0.0,23.0,0.0,10.0
P1-8,short,IS,OFF,2.0,247,70.0,0.0335,8.28,1.19,62.1,0.0,0.0,0.0,7.0,0.0,26.0
P1-8,short,OOS,OFF,2.0,246,69.9,-0.0896,-22.04,0.71,47.6,0.0,0.0,0.0,18.0,0.0,13.0
