family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-9,long,OOS,-0.005,1.5,160,45.0,-0.001,-0.16,1.0,23.4,45.0,0.0,0.0,54.0,0.0,1.0
P1-9,long,IS,-0.005,2.0,251,46.2,-0.022,-5.52,0.91,22.2,46.0,0.0,0.0,54.0,0.0,0.0
P1-9,long,OOS,-0.005,2.0,160,46.9,0.0003,0.06,1.0,25.0,47.0,0.0,0.0,52.0,0.0,1.0
P1-9,long,IS,-0.007,0.6,251,35.1,0.0011,0.27,1.01,14.3,35.0,0.0,0.0,65.0,0.0,0.0
P1-9,long,OOS,-0.007,0.6,160,35.6,-0.0031,-0.5,0.98,15.3,36.0,0.0,0.0,64.0,0.0,0.0
P1-9,long,IS,-0.007,0.8,251,36.7,-0.0065,-1.62,0.97,15.7,37.0,0.0,0.0,63.0,0.0,0.0
P1-9,long,OOS,-0.007,0.8,160,38.1,-0.0069,-1.1,0.97,16.7,38.0,0.0,0.0,62.0,0.0,0.0
P1-9,long,IS,-0.007,1.0,251,39.4,0.0018,0.46,1.01,17.2,39.0,0.0,0.0,61.0,0.0,0.0
P1-9,long,OOS,-0.007,1.0,160,40.6,-0.0034,-0.55,0.98,19.3,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,IS,-0.007,1.3,251,41.4,-0.006,-1.5,0.97,19.0,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,OOS,-0.007,1.3,160,43.1,-0.002,-0.32,0.99,22.0,43.0,0.0,0.0,56.0,0.0,1.0
P1-9,long,IS,-0.007,1.5,251,42.6,-0.0101,-2.53,0.96,20.1,43.0,0.0,0.0,57.0,0.0,0.0
P1-9,long,OOS,-0.007,1.5,160,45.0,-0.001,-0.16,1.0,23.4,45.0,0.0,0.0,54.0,0.0,1.0
P1-9,long,IS,-0.007,2.0,251,46.2,-0.022,-5.52,0.91,22.2,46.0,0.0,0.0,54.0,0.0,0.0
P1-9,long,OOS,-0.007,2.0,160,46.9,0.0003,0.06,1.0,25.0,47.0,0.0,0.0,52.0,0.0,1.0
P1-9,long,IS,-0.01,0.6,251,35.1,0.0011,0.27,1.01,14.3,35.0,0.0,0.0,65.0,0.0,0.0
P1-9,long,OOS,-0.01,0.6,160,35.6,-0.0031,-0.5,0.98,15.3,36.0,0.0,0.0,64.0,0.0,0.0
P1-9,long,IS,-0.01,0.8,251,36.7,-0.0065,-1.62,0.97,15.7,37.0,0.0,0.0,63.0,0.0,0.0
P1-9,long,OOS,-0.01,0.8,160,38.1,-0.0069,-1.1,0.97,16.7,38.0,0.0,0.0,62.0,0.0,0.0
P1-9,long,IS,-0.01,1.0,251,39.4,0.0018,0.46,1.01,17.2,39.0,0.0,0.0,61.0,0.0,0.0
P1-9,long,OOS,-0.01,1.0,160,40.6,-0.0034,-0.55,0.98,19.3,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,IS,-0.01,1.3,251,41.4,-0.006,-1.5,0.97,19.0,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,OOS,-0.01,1.3,160,43.1,-0.002,-0.32,0.99,22.0,43.0,0.0,0.0,56.0,0.0,1.0
P1-9,long,IS,-0.01,1.5,251,42.6,-0.0101,-2.53,0.96,20.1,43.0,0.0,0.0,57.0,0.0,0.0
P1-9,long,OOS,-0.01,1.5,160,45.0,-0.001,-0.16,1.0,23.4,45.0,0.0,0.0,54.0,0.0,1.0
P1-9,long,IS,-0.01,2.0,251,46.2,-0.022,-5.52,0.91,22.2,46.0,0.0,0.0,54.0,0.0,0.0
P1-9,long,OOS,-0.01,2.0,160,46.9,0.0003,0.06,1.0,25.0,47.0,0.0,0.0,52.0,0.0,1.0
P1-9,long,IS,-0.015,0.6,251,35.1,0.0011,0.27,1.01,14.3,35.0,0.0,0.0,65.0,0.0,0.0
P1-9,long,OOS,-0.015,0.6,160,35.6,-0.0031,-0.5,0.98,15.3,36.0,0.0,0.0,64.0,0.0,0.0
P1-9,long,IS,-0.015,0.8,251,36.7,-0.0065,-1.62,0.97,15.7,37.0,0.0,0.0,63.0,0.0,0.0
P1-9,long,OOS,-0.015,0.8,160,38.1,-0.0069,-1.1,0.97,16.7,38.0,0.0,0.0,62.0,0.0,0.0
P1-9,long,IS,-0.015,1.0,251,39.4,0.0018,0.46,1.01,17.2,39.0,0.0,0.0,61.0,0.0,0.0
P1-9,long,OOS,-0.015,1.0,160,40.6,-0.0034,-0.55,0.98,19.3,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,IS,-0.015,1.3,251,41.4,-0.006,-1.5,0.97,19.0,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,OOS,-0.015,1.3,160,43.1,-0.002,-0.32,0.99,22.0,43.0,0.0,0.0,56.0,0.0,1.0
P1-9,long,IS,-0.015,1.5,251,42.6,-0.0101,-2.53,0.96,20.1,43.0,0.0,0.0,57.0,0.0,0.0
P1-9,long,OOS,-0.015,1.5,160,45.0,-0.001,-0.16,1.0,23.4,45.0,0.0,0.0,54.0,0.0,1.0
P1-9,long,IS,-0.015,2.0,251,46.2,-0.022,-5.52,0.91,22.2,46.0,0.0,0.0,54.0,0.0,0.0
P1-9,long,OOS,-0.015,2.0,160,46.9,0.0003,0.06,1.0,25.0,47.0,0.0,0.0,52.0,0.0,1.0
P1-9,long,IS,OFF,0.6,251,35.1,0.0011,0.27,1.01,14.3,35.0,0.0,0.0,65.0,0.0,0.0
P1-9,long,OOS,OFF,0.6,160,35.6,-0.0031,-0.5,0.98,15.3,36.0,0.0,0.0,64.0,0.0,0.0
P1-9,long,IS,OFF,0.8,251,36.7,-0.0065,-1.62,0.97,15.7,37.0,0.0,0.0,63.0,0.0,0.0
P1-9,long,OOS,OFF,0.8,160,38.1,-0.0069,-1.1,0.97,16.7,38.0,0.0,0.0,62.0,0.0,0.0
P1-9,long,IS,OFF,1.0,251,39.4,0.0018,0.46,1.01,17.2,39.0,0.0,0.0,61.0,0.0,0.0
P1-9,long,OOS,OFF,1.0,160,40.6,-0.0034,-0.55,0.98,19.3,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,IS,OFF,1.3,251,41.4,-0.006,-1.5,0.97,19.0,41.0,0.0,0.0,59.0,0.0,0.0
P1-9,long,OOS,OFF,1.3,160,43.1,-0.002,-0.32,0.99,22.0,43.0,0.0,0.0,56.0,0.0,1.0
P1-9,long,IS,OFF,1.5,251,42.6,-0.0101,-2.53,0.96,20.1,43.0,0.0,0.0,57.0,0.0,0.0
P1-9,long,OOS,OFF,1.5,160,45.0,-0.001,-0.16,1.0,23.4,45.0,0.0,0.0,54.0,0.0,1.0
P1-9,long,IS,OFF,2.0,251,46.2,-0.022,-5.52,0.91,22.2,46.0,0.0,0.0,54.0,0.0,0.0
P1-9,long,OOS,OFF,2.0,160,46.9,0.0003,0.06,1.0,25.0,47.0,0.0,0.0,52.0,0.0,1.0
