family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
C1,long,IS,-0.01,1.0,714,48.5,-0.0778,-55.56,0.7,72.0,32.0,0.0,0.0,35.0,0.0,33.0
C1,long,OOS,-0.01,1.0,303,49.2,-0.0838,-25.38,0.71,60.3,36.0,0.0,0.0,41.0,0.0,23.0
C1,long,IS,-0.01,1.3,714,50.8,-0.073,-52.1,0.72,75.6,34.0,0.0,0.0,30.0,0.0,36.0
C1,long,OOS,-0.01,1.3,303,50.8,-0.0851,-25.78,0.71,64.2,38.0,0.0,0.0,36.0,0.0,27.0
C1,long,IS,-0.01,1.5,714,51.4,-0.0723,-51.63,0.72,77.5,35.0,0.0,0.0,28.0,0.0,37.0
C1,long,OOS,-0.01,1.5,303,51.5,-0.0949,-28.77,0.69,66.8,38.0,0.0,0.0,33.0,0.0,28.0
C1,long,IS,-0.01,2.0,714,51.5,-0.0744,-53.15,0.72,80.8,35.0,0.0,0.0,25.0,0.0,40.0
C1,long,OOS,-0.01,2.0,303,51.8,-0.1029,-31.17,0.67,69.1,39.0,0.0,0.0,30.0,0.0,32.0
C1,long,IS,-0.015,0.6,714,44.8,-0.0661,-47.18,0.72,65.5,28.0,0.0,0.0,41.0,0.0,30.0
C1,long,OOS,-0.015,0.6,303,44.6,-0.0826,-25.03,0.69,51.6,32.0,0.0,0.0,50.0,0.0,18.0
C1,long,IS,-0.015,0.8,714,46.6,-0.072,-51.42,0.71,69.2,30.0,0.0,0.0,39.0,0.0,31.0
C1,long,OOS,-0.015,0.8,303,47.5,-0.0866,-26.24,0.69,56.7,35.0,0.0,0.0,45.0,0.0,20.0
C1,long,IS,-0.015,1.0,714,48.5,-0.0778,-55.56,0.7,72.0,32.0,0.0,0.0,35.0,0.0,33.0
C1,long,OOS,-0.015,1.0,303,49.2,-0.0838,-25.38,0.71,60.3,36.0,0.0,0.0,41.0,0.0,23.0
C1,long,IS,-0.015,1.3,714,50.8,-0.073,-52.1,0.72,75.6,34.0,0.0,0.0,30.0,0.0,36.0
C1,long,OOS,-0.015,1.3,303,50.8,-0.0851,-25.78,0.71,64.2,38.0,0.0,0.0,36.0,0.0,27.0
C1,long,IS,-0.015,1.5,714,51.4,-0.0723,-51.63,0.72,77.5,35.0,0.0,0.0,28.0,0.0,37.0
C1,long,OOS,-0.015,1.5,303,51.5,-0.0949,-28.77,0.69,66.8,38.0,0.0,0.0,33.0,0.0,28.0
C1,long,IS,-0.015,2.0,714,51.5,-0.0744,-53.15,0.72,80.8,35.0,0.0,0.0,25.0,0.0,40.0
C1,long,OOS,-0.015,2.0,303,51.8,-0.1029,-31.17,0.67,69.1,39.0,0.0,0.0,30.0,0.0,32.0
C1,long,IS,OFF,0.6,714,44.8,-0.0661,-47.18,0.72,65.5,28.0,0.0,0.0,41.0,0.0,30.0
C1,long,OOS,OFF,0.6,303,44.6,-0.0826,-25.03,0.69,51.6,32.0,0.0,0.0,50.0,0.0,18.0
C1,long,IS,OFF,0.8,714,46.6,-0.072,-51.42,0.71,69.2,30.0,0.0,0.0,39.0,0.0,31.0
C1,long,OOS,OFF,0.8,303,47.5,-0.0866,-26.24,0.69,56.7,35.0,0.0,0.0,45.0,0.0,20.0
C1,long,IS,OFF,1.0,714,48.5,-0.0778,-55.56,0.7,72.0,32.0,0.0,0.0,35.0,0.0,33.0
C1,long,OOS,OFF,1.0,303,49.2,-0.0838,-25.38,0.71,60.3,36.0,0.0,0.0,41.0,0.0,23.0
C1,long,IS,OFF,1.3,714,50.8,-0.073,-52.1,0.72,75.6,34.0,0.0,0.0,30.0,0.0,36.0
C1,long,OOS,OFF,1.3,303,50.8,-0.0851,-25.78,0.71,64.2,38.0,0.0,0.0,36.0,0.0,27.0
C1,long,IS,OFF,1.5,714,51.4,-0.0723,-51.63,0.72,77.5,35.0,0.0,0.0,28.0,0.0,37.0
C1,long,OOS,OFF,1.5,303,51.5,-0.0949,-28.77,0.69,66.8,38.0,0.0,0.0,33.0,0.0,28.0
C1,long,IS,OFF,2.0,714,51.5,-0.0744,-53.15,0.72,80.8,35.0,0.0,0.0,25.0,0.0,40.0
C1,long,OOS,OFF,2.0,303,51.8,-0.1029,-31.17,0.67,69.1,39.0,0.0,0.0,30.0,0.0,32.0
